N72 Nieuwendammerham,107,120,142,249,319,402
N73 Waterland,2155,2178,2151,2101,2045,1999
N Noord,88434,92756,96906,102241,106210,109056
T92 Amstel III/Bullewijk,236,176,1638,2944,2921,2784
T93 Bijlmer Centrum (D,F,H),22875,22920,23900,27157,27322,27128
T94 Bijlmer Oost (E,G,K),26267,27094,27858,28877,28669,28197
T95 Nellestein,2970,3041,3003,2949,2872,2812
T96 Holendrecht/Reigersbos,18265,18858,18947,18703,18334,18046
T97 Gein,11652,11965,11670,11505,11326,11192
T98 Driemond,1478,1517,1557,1597,1570,1554
T Zuidoost,83743,85571,88573,93732,93014,91713
ASD Amsterdam,799442,817852,833963,852300,869095,885158
